Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",University of Louisville
Greg Monroe,2011,2019,C-F,6-11,265,"June 4, 1990",Georgetown University
Greg Oden,2009,2014,C,7-0,250,"January 22, 1988",Ohio State University
Greg Ostertag,1996,2006,C,7-2,280,"March 6, 1973",University of Kansas
Greg Smith,2012,2016,C,6-10,250,"January 8, 1991","California State University, Fresno"
Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",University of Wisconsin
Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",University of Iowa
Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts University
Greivis Vasquez,2011,2017,G,6-6,217,"January 16, 1987",University of Maryland
Guerschon Yabusele,2018,2019,F,6-8,260,"December 17, 1995",
Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",University of Miami
Gundars Vetra,1993,1993,F,6-6,195,"May 22, 1967",
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",
Guy Morgan,1983,1983,G,6-8,205,"August 23, 1960",Wake Forest University
Guy Rucker,2003,2003,F-C,6-11,265,"July 27, 1977",University of Iowa
Guy Williams,1985,1986,F,6-9,200,"July 1, 1960","University of San Francisco, Washington State University"
Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",
Hakeem Olajuwon*,1985,2002,C,7-0,255,"January 21, 1963",University of Houston
Hakim Warrick,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University
Hamady N'Diaye,2011,2014,C,7-0,235,"January 12, 1987",Rutgers University
Hamed Haddadi,2009,2013,C,7-2,254,"May 19, 1985",
Hamidou Diallo,2019,2019,G,6-5,198,"July 31, 1998",University of Kentucky
Hank McDowell,1982,1987,F-C,6-9,215,"November 13, 1959",University of Memphis
Hanno Mottola,2001,2002,C,6-11,247,"September 9, 1976",University of Utah
Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
Harold Jamison,2000,2002,F,6-8,260,"November 20, 1976",Clemson University
Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara University
Harold Miner,1993,1996,G,6-5,210,"May 5, 1971",University of Southern California
Harold Pressley,1987,1990,F-G,6-7,210,"July 14, 1963",Villanova University
Harrison Barnes,2013,2019,F,6-8,225,"May 30, 1992",University of North Carolina
Harry Giles,2019,2019,F-C,6-10,240,"April 22, 1998",Duke University
Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965","Clemson University, University of Oklahoma"
Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona
Hassan Whiteside,2011,2019,C,7-0,265,"June 13, 1989",Marshall University
Hawkeye Whitney,1981,1982,G-F,6-5,235,"June 22, 1957",North Carolina State University
Haywood Highsmith,2019,2019,F,6-7,220,"December 9, 1996",Wheeling Jesuit University
Haywoode Workman,1990,2000,G,6-2,180,"January 23, 1966","Winston-Salem State University, Oral Roberts University"
Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",
Henry Ellenson,2017,2019,F,6-11,245,"January 13, 1997",Marquette University
Henry James,1991,1998,F,6-8,220,"July 29, 1965","South Plains College, St. Mary's University"
Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",Georgetown University
Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton"
Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University
Herb Williams,1982,1999,C-F,6-10,242,"February 16, 1958",Ohio State University
Hersey Hawkins,1989,2001,G,6-3,190,"September 29, 1966",Bradley University
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut
Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981","California State University, Fresno"
Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown University
Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson University
Horace Jenkins,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University
Horacio Llamas Grey,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University
Hot Rod Williams,1987,1999,F-C,6-11,215,"August 9, 1962",Tulane University
Howard Carter,1984,1985,G,6-5,215,"October 26, 1961",Louisiana State University
Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College
Howard Nathan,1996,1996,G,5-11,175,"January 21, 1972","DePaul University, University of Louisiana at Monroe"
Howard Wood,1982,1982,F,6-7,235,"May 20, 1959",University of Tennessee
Howard Wright,1991,1993,F,6-8,220,"December 20, 1967",Stanford University
Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",University of North Carolina
Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","State University of New York College at Buffalo, Vanderbilt University"
Ian Clark,2014,2019,G,6-3,175,"March 7, 1991",Belmont University
Ian Lockhart,1991,1991,F,6-8,240,"June 25, 1967",University of Tennessee
Ian Mahinmi,2008,2019,C,6-11,262,"November 5, 1986",
Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",
Igor Rakocevic,2003,2003,G,6-3,183,"March 29, 1978",
Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998","University of California, Los Angeles"
Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State University
Iman Shumpert,2012,2019,G,6-5,215,"June 26, 1990",Georgia Institute of Technology
Ime Udoka,2004,2011,F,6-6,215,"August 9, 1977","University of San Francisco, Portland State University"
Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence College, University of Pennsylvania"
Ira Newble,2001,2008,F,6-7,220,"January 20, 1975",Miami University
Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","University of Kentucky, Florida State University"
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University
Isaac Bonga,2019,2019,G,6-8,180,"November 8, 1999",
Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State University
Isaac Humphries,2019,2019,C,7-0,255,"January 5, 1998",University of Kentucky
Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",University of Kentucky
Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",Murray State University
Isaiah Hartenstein,2019,2019,F,7-0,249,"May 5, 1998",
Isaiah Hicks,2018,2019,F,6-9,230,"July 24, 1994",University of North Carolina
Isaiah Morris,1993,1993,F,6-8,229,"April 2, 1969",University of Arkansas
Isaiah Rider,1994,2002,G,6-5,215,"March 12, 1971","University of Nevada, Las Vegas"
Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",University of Texas at Austin
Isaiah Thomas,2012,2019,G,5-9,185,"February 7, 1989",University of Washington
Isaiah Whitehead,2017,2018,G,6-4,213,"March 8, 1995",Seton Hall University
Ish Smith,2011,2019,G,6-0,175,"July 5, 1988",Wake Forest University
Isiah Thomas*,1982,1994,G,6-1,180,"April 30, 1961",Indiana University
Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","University of Oregon, California State University, San Bernardino"
Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State University
Ivan Rabb,2018,2019,F,6-10,220,"February 4, 1997",University of California
Ivano Newbill,1995,1998,F,6-9,245,"December 12, 1970",Georgia Institute of Technology
Ivica Zubac,2017,2019,C,7-1,240,"March 18, 1997",
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University
J.J. Barea,2007,2019,G,6-0,185,"June 26, 1984",Northeastern University
J.J. Hickson,2009,2016,F-C,6-9,242,"September 4, 1988",North Carolina State University
J.J. O'Brien,2016,2016,F,6-7,228,"April 8, 1992",San Diego State University
J.J. Redick,2007,2019,G,6-4,200,"June 24, 1984",Duke University
J.P. Macura,2019,2019,G,6-5,205,"June 5, 1995",Xavier University
J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University
J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","University of Kansas, University of New Mexico"
J.R. Henderson,1999,1999,F,6-8,226,"October 30, 1976","University of California, Los Angeles"
J.R. Reid,1990,2001,F,6-9,247,"March 31, 1968",University of North Carolina
J.R. Smith,2005,2019,G-F,6-6,225,"September 9, 1985",
JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue University
JaKarr Sampson,2015,2019,G-F,6-9,214,"March 20, 1993",St. John's University
JaMychal Green,2015,2019,F,6-9,227,"June 21, 1990",University of Alabama
JaVale McGee,2009,2019,C,7-0,270,"January 19, 1988","University of Nevada, Reno"
Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",University of California
Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","University of Oregon, University of Missouri"
Jabari Parker,2015,2019,F,6-8,245,"March 15, 1995",Duke University
Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",Louisiana State University
Jack Cooley,2015,2018,F-C,6-9,260,"April 4, 1991",University of Notre Dame
Jack Haley,1989,1998,C-F,6-10,240,"January 27, 1964","University of California, Los Angeles"
Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",
Jackson Vroman,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University
Jacob Evans,2019,2019,G-F,6-6,210,"June 18, 1997",University of Cincinnati
Jacob Pullen,2018,2018,G,6-1,200,"November 10, 1989",Kansas State University
Jacob Wiley,2018,2018,F,6-7,215,"September 4, 1994",Eastern Washington University
Jacque Vaughn,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas
Jae Crowder,2013,2019,F,6-6,235,"July 6, 1990",Marquette University
Jahidi White,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown University
Jahlil Okafor,2016,2019,C-F,6-11,275,"December 15, 1995",Duke University
Jake Layman,2017,2019,F,6-9,215,"March 7, 1994",University of Maryland
Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",
Jake Voskuhl,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut
Jakob Poeltl,2017,2019,C,7-0,230,"October 15, 1995",University of Utah
Jalen Brunson,2019,2019,G,6-3,190,"August 31, 1996",Villanova University
Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993",Texas A&M University
Jalen Rose,1995,2007,G-F,6-8,210,"January 30, 1973",University of Michigan
Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University
Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978",University of Kentucky
Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University
Jamal Crawford,2001,2019,G,6-5,185,"March 20, 1980",University of Michigan
Jamal Mashburn,1994,2004,F,6-8,240,"November 29, 1972",University of Kentucky
Jamal Murray,2017,2019,G,6-4,207,"February 23, 1997",University of Kentucky
Jamal Robinson,2001,2001,F,6-7,212,"December 27, 1973",University of Virginia
Jamal Sampson,2003,2007,F-C,6-11,235,"May 15, 1983",University of California
Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College
Jameel Warney,2018,2018,F,6-8,260,"January 31, 1994",Stony Brook University
Jameer Nelson,2005,2018,G,6-0,190,"February 9, 1982",Saint Joseph's University
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",University of Pittsburgh
Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence College
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign
James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
James Collins,1998,1998,G,6-4,196,"November 5, 1973",Florida State University
James Cotton,1998,1999,G,6-5,220,"December 14, 1975","California State University, Long Beach"
James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State University
James Ennis,2015,2019,F,6-7,210,"July 1, 1990","California State University, Long Beach"
James Harden,2010,2019,G,6-5,220,"August 26, 1989",Arizona State University
James Johnson,2010,2019,F,6-8,240,"February 20, 1987",Wake Forest University
James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",University of Miami
James Lang,2007,2007,C,6-10,285,"October 17, 1983",
James Michael McAdoo,2015,2018,F,6-9,230,"January 4, 1993",University of North Carolina
James Nunnally,2014,2019,F,6-7,208,"July 14, 1990","University of California, Santa Barbara"
James Posey,2000,2011,F-G,6-8,215,"January 13, 1977",Xavier University
James Ray,1981,1983,F,6-8,215,"July 27, 1957",Jacksonville University
James Robinson,1994,2001,G,6-2,180,"August 31, 1970",University of Alabama
James Scott,1997,1997,F,6-6,180,"June 6, 1972",St. John's University
James Singleton,2006,2012,F,6-8,216,"July 20, 1981",Murray State University
James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse University
James Thomas,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin
James Webb,2018,2018,F,6-9,202,"August 19, 1993",Boise State University
James White,2007,2013,G-F,6-7,200,"October 21, 1982","University of Florida, University of Cincinnati"
James Wilkes,1981,1983,F,6-7,195,"April 1, 1958","University of California, Los Angeles"
James Worthy*,1983,1994,F,6-9,225,"February 27, 1961",University of North Carolina
James Young,2015,2018,G-F,6-6,215,"August 16, 1995",University of Kentucky
JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University
Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State University
Jamie Waller,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University
Jamie Watson,1995,1999,F,6-7,190,"February 23, 1972",University of South Carolina
Jamil Wilson,2018,2018,F,6-7,230,"November 21, 1990","University of Oregon, Marquette University"
Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn University
Jan Vesely,2012,2014,F,6-11,240,"April 24, 1990",
Jannero Pargo,2003,2015,G,6-1,175,"October 22, 1979",University of Arkansas
Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University
Jared Dudley,2008,2019,F-G,6-7,237,"July 10, 1985",Boston College
Jared Jeffries,2003,2013,F,6-11,230,"November 25, 1981",Indiana University
Jared Reiner,2005,2007,C,6-11,255,"April 8, 1982",University of Iowa
Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State University
Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",University of Rhode Island
Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Polytechnic Institute and State University
Jarell Martin,2016,2019,F,6-10,239,"May 24, 1994",Louisiana State University
Jaren Jackson,2019,2019,F,6-11,242,"September 15, 1999",Michigan State University
Jaren Jackson,1990,2002,G-F,6-4,190,"October 27, 1967",Georgetown University
Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",University of Tennessee
Jaron Blossomgame,2019,2019,F,6-7,220,"September 16, 1993",Clemson University
Jarred Vanderbilt,2019,2019,F,6-9,214,"April 3, 1999",University of Kentucky
Jarrett Allen,2018,2019,C-F,6-11,237,"April 21, 1998",University of Texas at Austin
Jarrett Jack,2006,2018,G,6-3,200,"October 28, 1983",Georgia Institute of Technology
Jarrod Uthoff,2017,2017,F,6-9,221,"May 19, 1993",University of Iowa
Jarron Collins,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford University
Jarvis Hayes,2004,2010,F,6-7,220,"August 9, 1981","Western Carolina University, University of Georgia"
Jarvis Varnado,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University
Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",University of Alabama
Jason Collier,2001,2005,C,7-0,260,"September 8, 1977","Indiana University, Georgia Institute of Technology"
Jason Collins,2002,2014,C,7-0,255,"December 2, 1978",Stanford University
Jason Hart,2001,2010,G,6-3,185,"April 29, 1978",Syracuse University
Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles"
Jason Kidd*,1995,2013,G,6-4,205,"March 23, 1973",University of California
Jason Lawson,1998,1998,C,6-11,240,"September 2, 1974",Villanova University
Jason Maxiell,2006,2015,F,6-7,260,"February 18, 1983",University of Cincinnati
Jason Miskiri,2000,2000,G,6-2,175,"August 19, 1975",George Mason University
Jason Richardson,2002,2015,G,6-6,220,"January 20, 1981",Michigan State University
Jason Sasser,1997,1999,F,6-7,225,"January 13, 1974",Texas Tech University
Jason Smith,2008,2019,F-C,7-0,240,"March 2, 1986",Colorado State University
Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",University of Arizona
Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University
Jason Williams,1999,2011,G,6-1,190,"November 18, 1975","Marshall University, University of Florida"
Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology
Jawad Williams,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina
Jawann Oldham,1981,1991,C,7-0,215,"July 4, 1957",Seattle University
Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State University
Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana University
Jay Guidinger,1993,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth
Jay Humphries,1985,1995,G,6-3,185,"October 17, 1962",University of Colorado
Jay Murphy,1985,1988,F,6-9,220,"June 26, 1962",Boston College
Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University
Jay Vincent,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University
Jay Williams,2003,2003,G,6-2,195,"September 10, 1981",Duke University
Jaylen Adams,2019,2019,G,6-2,190,"May 4, 1996",St. Bonaventure University
Jaylen Brown,2017,2019,F-G,6-7,220,"October 24, 1996",University of California
Jaylen Morris,2018,2019,G,6-5,185,"September 19, 1995",Molloy
Jayson Tatum,2018,2019,F,6-8,208,"March 3, 1998",Duke University
